id,type,name,address,number,state,city,zip,lat,lon,point
1500,Hospital,Gibson and Sons,11286 Jamie Squares Suite 993,184-584-3284,NY,West Islip,11795,40.699825,-73.290905,"(40.699825, -73.29090500000002)"
1501,Pharmacy,"Harrell, Johnson and Edwards",1435 Jonathan Loaf Suite 840,758-432-1084,VA,Eastville,23347,37.356057,-75.964939,"(37.356057, -75.964939)"
1502,Pharmacy,Armstrong Ltd,524 Nelson Underpass Suite 144,914-409-6101,CA,Burbank,91522,33.786594,-118.298662,"(33.786594, -118.298662)"
1503,Hospital,Mathis Ltd,300 Andrews Falls,970-706-0297,UT,Orem,84058,40.2818,-111.72091,"(40.2818, -111.72091)"
1504,Hospital,"Curtis, Brooks and House",382 Stewart Radial Suite 476,798-286-2711,KY,Louisville,40205,38.224181,-85.60026,"(38.224181, -85.60025999999998)"
1505,Hospital,Travis-Cooper,3438 Tara Mall Suite 604,165-333-6343,TX,Roanoke,76262,33.199082,-97.117815,"(33.199082000000004, -97.117815)"
1506,Pharmacy,"Edwards, Bauer and Brown",079 Arellano Creek Apt. 368,898-184-2019,WV,Martinsburg,25402,39.461663,-78.011472,"(39.461663, -78.011472)"
1507,Pharmacy,Patterson-Stephens,7993 Taylor Union Apt. 442,284-554-5389,TN,Memphis,38108,35.175239,-89.97306,"(35.175239000000005, -89.97306)"
1508,Hospital,Miller-Olsen,2750 Castro Points Apt. 194,393-731-6442,NC,Tobaccoville,27050,36.22358,-80.395517,"(36.22358, -80.395517)"
1509,Pharmacy,"Carr, Johnson and Rodriguez",704 Adams Underpass,327-288-3496,LA,Carencro,70520,30.238176,-92.047919,"(30.238176, -92.047919)"
1510,Hospital,Parker and Sons,351 James Port,557-524-6201,NY,Mount Vernon,10557,41.119008,-73.732996,"(41.119008, -73.732996)"
1511,Pharmacy,Camacho-Colon,5344 Grace Avenue Suite 934,782-350-4856,TX,San Antonio,78291,29.437532,-98.461582,"(29.437532, -98.461582)"
1512,Hospital,Robles-Pugh,4645 Jodi Roads,516-186-3096,CA,San Francisco,94154,37.784827,-122.727802,"(37.784827, -122.727802)"
1513,Pharmacy,Mora-Cole,63879 Taylor Mission,101-431-1091,OH,Pierpont,44082,41.769302,-80.573251,"(41.769302, -80.573251)"
1514,Pharmacy,"Watts, Erickson and Miller",88899 Mayer Loaf,973-658-0992,IL,Rosamond,62083,39.37433,-89.198256,"(39.37433, -89.198256)"
1515,Pharmacy,"Smith, Jackson and Ross",5078 Rodriguez Trail,291-241-7314,NC,Winston Salem,27115,36.027482,-80.20728,"(36.027482, -80.20728000000003)"
1516,Hospital,"Long, Jackson and Baird",1065 James Crescent Apt. 942,306-399-6660,IL,London Mills,61544,40.672692,-90.291576,"(40.672692, -90.291576)"
1517,Pharmacy,Caldwell Inc,494 Rangel Place Suite 762,626-093-0623,MA,Andover,1899,42.635443,-70.879123,"(42.635443, -70.87912299999998)"
1518,Hospital,Chung Group,182 Jennifer Shore Apt. 589,565-472-1121,MI,Livonia,48154,42.375986,-83.389962,"(42.375986, -83.389962)"
1519,Hospital,"Taylor, Deleon and Zimmerman",9781 Jeremy Ranch Apt. 314,828-144-7304,MO,Springfield,65808,37.25807,-93.343673,"(37.25807, -93.343673)"
1520,Pharmacy,"Glover, Williams and Walker",735 Wagner Forest,669-859-3159,NM,Embudo,87531,36.215288,-105.890075,"(36.215288, -105.890075)"
1521,Pharmacy,Smith LLC,73968 Kelly Mountains Suite 043,169-396-1243,MD,Hanover,21076,39.057694,-76.615557,"(39.057694, -76.615557)"
1522,Pharmacy,Brady Group,819 Nicole Court Suite 725,405-770-3729,VT,Hartland,5048,43.573379,-72.402698,"(43.573379, -72.402698)"
1523,Pharmacy,"Williams, Monroe and Byrd",095 Mary Loaf Suite 050,361-465-6795,MI,Detroit,48269,42.239933,-83.150823,"(42.239933, -83.150823)"
1524,Pharmacy,Perez-Herrera,50154 Jeffrey Shoal Suite 998,314-252-1183,AZ,Valley Farms,85291,33.013502,-111.42979,"(33.013502, -111.42979)"
1525,Pharmacy,"Buck, Johnson and Knight",13698 Bryant Locks Apt. 236,323-251-0973,FL,Valrico,33594,27.937779,-82.347371,"(27.937779, -82.347371)"
1526,Hospital,Gonzalez-Robinson,893 Wilkerson Extensions,728-674-6616,MI,Atlas,48411,42.940019,-83.536923,"(42.940019, -83.536923)"
1527,Pharmacy,Reynolds Group,9899 Adrian Knoll Suite 013,951-796-0344,CA,Helm,93627,36.574499,-120.066008,"(36.574499, -120.066008)"
1528,Pharmacy,Thompson-Johnston,46443 Chase Roads,841-060-4275,FL,Saint Augustine,32080,29.83,-81.27,"(29.83, -81.27)"
1529,Pharmacy,Bass PLC,9076 Becky Ridge,672-363-4030,AR,Biggers,72413,36.284433,-90.853751,"(36.284433, -90.853751)"
1530,Hospital,Soto-Harris,7083 Chang Alley,563-614-9070,IL,Durand,61024,42.434686,-89.213377,"(42.434686, -89.21337700000002)"
1531,Pharmacy,"Turner, Salinas and Johnson",9203 Brandon Row,332-559-0252,MO,Columbia,65217,38.903318,-92.102153,"(38.903318, -92.102153)"
1532,Pharmacy,"Pham, Andersen and Morris",608 Duncan Lodge,921-235-5043,VA,Richmond,23221,37.553196,-77.489706,"(37.553196, -77.48970600000001)"
1533,Hospital,"Sims, Frazier and Valenzuela",4838 Bauer Skyway,315-097-9996,NC,Fleetwood,28626,36.330187,-81.508408,"(36.330187, -81.508408)"
1534,Pharmacy,Holden LLC,347 Jennifer Pass Apt. 213,496-831-1980,AR,Cove,71937,34.354193,-94.383483,"(34.354193, -94.383483)"
1535,Hospital,"Maxwell, Leonard and Robinson",1053 Lopez Tunnel,728-432-2882,MA,Pinehurst,1866,42.446396,-71.459405,"(42.446396, -71.459405)"
1536,Hospital,Watson-Murillo,82965 Mejia Run,377-272-7682,IN,Frankton,46044,40.213173,-85.786049,"(40.213173, -85.786049)"
1537,Pharmacy,Smith Group,149 May Gardens Suite 770,811-784-6893,LA,Baton Rouge,70883,30.51589,-91.080373,"(30.51589, -91.080373)"
1538,Pharmacy,"Dean, Wilkerson and Hardin",328 David Park Suite 809,954-313-9311,MI,Fennville,49408,42.542809,-86.11849,"(42.54280900000001, -86.11849000000002)"
1539,Hospital,Johnson Ltd,362 Paul Branch,862-293-2060,AZ,Mesa,85203,33.448876,-111.824363,"(33.448876, -111.824363)"
1540,Pharmacy,Morse-Brown,347 Richard Port,110-409-6482,MI,Deckerville,48427,43.535064,-82.722491,"(43.535064, -82.722491)"
1541,Pharmacy,Alexander-Mejia,5086 Ruth Hills Suite 328,542-682-1315,WI,Eagle River,54521,45.988126,-89.265609,"(45.988126, -89.265609)"
1542,Pharmacy,"Davis, Reeves and Stokes",8892 Angela Point Suite 895,234-727-5781,CA,Coachella,92236,33.646405,-116.143588,"(33.646405, -116.143588)"
1543,Pharmacy,"Robinson, Moore and Garner",042 Evan Gardens Apt. 301,734-599-6763,OH,Columbus,43299,39.969036,-83.011389,"(39.969036, -83.01138900000002)"
1544,Pharmacy,Hahn-Barnes,244 Rojas Overpass Suite 272,601-886-5816,NH,Milton Mills,3852,43.326734,-71.028427,"(43.326734, -71.02842700000002)"
1545,Hospital,Hendrix-Holden,442 Christopher Plains,863-719-5528,KY,Covington,41012,38.944663,-84.520501,"(38.944663, -84.520501)"
1546,Hospital,Mcmahon PLC,984 Riggs Meadow Apt. 971,485-126-0824,MI,Sand Lake,49343,43.258296,-85.504509,"(43.258296, -85.504509)"
1547,Pharmacy,Freeman-Alexander,490 Amber Ridge Apt. 031,869-486-4324,AL,Waverly,36879,32.681539,-85.565954,"(32.681539, -85.565954)"
1548,Pharmacy,Villa-Brown,9066 Kevin Meadows,753-458-6381,IL,Brussels,62013,38.925543,-90.596798,"(38.925543, -90.596798)"
1549,Hospital,Ray Ltd,1845 Dale Heights Apt. 352,269-668-3671,IA,Williamson,50272,41.029481,-93.327475,"(41.029481, -93.327475)"
1550,Hospital,Mitchell-Munoz,2922 Hernandez Mountain,281-250-6955,MO,Bixby,65439,37.505462,-90.845047,"(37.505462, -90.845047)"
1551,Pharmacy,"Green, Boyle and Reynolds",740 Hutchinson Ridge Suite 708,754-307-8679,WV,New Milton,26411,39.270846,-80.719742,"(39.270846, -80.71974200000002)"
1552,Pharmacy,Hughes-Robbins,85811 Kathryn Wells,949-715-6288,VA,Parrott,24132,37.204788,-80.620517,"(37.204788, -80.620517)"
1553,Hospital,Nguyen-Jackson,0950 Ashley Landing,617-629-6307,WV,Hurricane,25526,38.397097,-81.961657,"(38.397097, -81.96165699999997)"
1554,Pharmacy,Sutton-Gomez,91036 Alexandra Valley,791-354-2539,VA,Baskerville,23915,36.70774,-78.281204,"(36.70774, -78.281204)"
1555,Hospital,Nunez-Martinez,91416 Jeanette Trail Apt. 769,758-136-2636,ME,South China,4358,44.375578,-69.586327,"(44.375578, -69.586327)"
1556,Pharmacy,Jackson LLC,11725 Jack Rest Apt. 485,644-143-9687,LA,Morse,70559,30.129756,-92.476684,"(30.129756, -92.476684)"
